stimulus,aoi_index,aoi_content,fprt
goldfish-neg.text.0,0,One,0.0
goldfish-neg.text.0,1,Last,618.0
goldfish-neg.text.0,2,Wish,194.0
goldfish-neg.text.0,3,As,0.0
goldfish-neg.text.0,4,the,393.0
goldfish-neg.text.0,5,sun,185.0
goldfish-neg.text.0,6,set,0.0
goldfish-neg.text.0,7,on,412.0
goldfish-neg.text.0,8,the,212.0
goldfish-neg.text.0,9,small,0.0
goldfish-neg.text.0,10,town,331.0
goldfish-neg.text.0,11,of,0.0
goldfish-neg.text.0,12,Willow,316.0
goldfish-neg.text.0,13,"Creek,",167.0
goldfish-neg.text.0,14,a,0.0
goldfish-neg.text.0,15,young,273.0
goldfish-neg.text.0,16,girl,0.0
goldfish-neg.text.0,17,named,293.0
goldfish-neg.text.0,18,Lily,249.0
goldfish-neg.text.0,19,sat,193.0
goldfish-neg.text.0,20,by,129.0
goldfish-neg.text.0,21,the,104.0
goldfish-neg.text.0,22,edge,266.0
goldfish-neg.text.0,23,of,0.0
goldfish-neg.text.0,24,her,238.0
goldfish-neg.text.0,25,"bed,",0.0
goldfish-neg.text.0,26,her,0.0
goldfish-neg.text.0,27,eyes,312.0
goldfish-neg.text.0,28,fixed,220.0
goldfish-neg.text.0,29,on,0.0
goldfish-neg.text.0,30,the,293.0
goldfish-neg.text.0,31,small,235.0
goldfish-neg.text.0,32,tank,163.0
goldfish-neg.text.0,33,in,0.0
goldfish-neg.text.0,34,the,382.0
goldfish-neg.text.0,35,corner,0.0
goldfish-neg.text.0,36,of,181.0
goldfish-neg.text.0,37,her,390.0
goldfish-neg.text.0,38,room.,0.0
goldfish-neg.text.0,39,Her,388.0
goldfish-neg.text.0,40,pet,0.0
goldfish-neg.text.0,41,"goldfish,",703.0
goldfish-neg.text.0,42,"Finley,",323.0
goldfish-neg.text.0,43,had,439.0
goldfish-neg.text.0,44,been,212.0
goldfish-neg.text.0,45,by,0.0
goldfish-neg.text.0,46,her,406.0
goldfish-neg.text.0,47,side,257.0
goldfish-neg.text.0,48,for,0.0
goldfish-neg.text.0,49,as,300.0
goldfish-neg.text.0,50,long,144.0
goldfish-neg.text.0,51,as,0.0
goldfish-neg.text.0,52,she,194.0
goldfish-neg.text.0,53,could,426.0
goldfish-neg.text.0,54,remember.,368.0
goldfish-neg.text.0,55,He,178.0
goldfish-neg.text.0,56,was,0.0
goldfish-neg.text.0,57,more,0.0
goldfish-neg.text.0,58,than,143.0
goldfish-neg.text.0,59,just,0.0
goldfish-neg.text.0,60,a,0.0
goldfish-neg.text.0,61,pet,0.0
goldfish-neg.text.0,62,-,109.0
goldfish-neg.text.0,63,he,0.0
goldfish-neg.text.0,64,was,222.0
goldfish-neg.text.0,65,her,142.0
goldfish-neg.text.0,66,best,264.0
goldfish-neg.text.0,67,friend.,328.0
goldfish-neg.text.0,68,As,0.0
goldfish-neg.text.0,69,the,0.0
goldfish-neg.text.0,70,days,157.0
goldfish-neg.text.0,71,went,162.0
goldfish-neg.text.0,72,"by,",167.0
goldfish-neg.text.0,73,Lily,0.0
goldfish-neg.text.0,74,noticed,272.0
goldfish-neg.text.0,75,that,568.0
goldfish-neg.text.0,76,Finley,0.0
goldfish-neg.text.0,77,wasn't,702.0
goldfish-neg.text.0,78,swimming,134.0
goldfish-neg.text.0,79,as,0.0
goldfish-neg.text.0,80,much,148.0
goldfish-neg.text.0,81,as,276.0
goldfish-neg.text.0,82,he,259.0
goldfish-neg.text.0,83,used,657.0
goldfish-neg.text.0,84,to.,0.0
goldfish-neg.text.0,85,She,0.0
goldfish-neg.text.0,86,tried,0.0
goldfish-neg.text.0,87,to,0.0
